Name	Set	ImageFile	Type	Scare_Threshold	Rarity	CardText
A Good Scare	ChristmasTown	a_good_scare	Surprises	0	Uncommon	Search 3, Corpse Kid, Winged Demon OR If the Corpse Kid and Winged Demon are both at your Guillotine Area, cut your opponent’s deck, and then remove the top card from the game.
Accordion Player	Premiere	accordion_player	Character	1	Common	When the Accordion Player is played, if another Character at his Locale has the word “Player” in his name, Draw 1 Card.
Ain't Goin' Nowhere	ChristmasTown	aint_goin_nowhere	Surprises	1	Rare	If your Oogie is in play, Stack this Surprise on another Character at his Locale. While this Surprise is Stacked on that Character, that Character cannot be discarded from play, and cannot move.
Alas! Poor Jack!	ChristmasTown	alas_poor_jack	Surprises	0	Uncommon	Search Discard Pile, Jack OR Stack this card on your Jack. He cannot be returned to your hand by an opponent.
Alto Ghost	ChristmasTown	alto_ghost	Character	1	Common	When the Alto Ghost is played, if another Character at her Locale has the word “Ghost” in his or her name, Search Discard Pile, 1 Surprise
Armed Assault	ChristmasTown	armed_assault	Surprises	1	Uncommon	Search 6, Sally’s Arm OR Discard your Sally’s Arm from play, and then send an opponent’s Character with a Scare Number of 2 back to its owner’s hand.
Back Alley	Premiere	back_alley	Locale	2	Uncommon	FUNCTION: Draw 2 Cards and Move 3 Cards
Baritone Ghost	ChristmasTown	baritone_ghost	Character	1	Rare	If the Baritone Ghost is played to The Well, you may immediately discard 1 card from your hand to Search Discard Pile, 1 Card
Barrel - Dopey Trick-or-Treater	Tournament	barrel2	Character	1	Fixed	HEX: Once during your turn, after Barrel moves to a Locale, Draw 1 Card.
Barrel - Guinea Pig	ChristmasTown	barrel3	Character	1	Uncommon	May travel between Holiday Towns. During your turn, if Barrel is at the Tree House, you may return him to your hand to Search 2, 1 Character
Barrel - Little Skeleton	Premiere	barrel1	Character	1	Common	During your turn, if Barrel is at the same Locale as Lock and Shock, you may discard a copy of Barrel from your hand to Draw 1 Card.
Barry the Elf	ChristmasTown	barry	Character	0	Rare	If Barry is played to the Cookie Factory, you may immediately discard 1 card from your hand to Draw 2 Cards.
Bass Ghost	ChristmasTown	bass_ghost	Character	1	Uncommon	When the Bass Ghost is played, you may Search 5, “Ghosts”
Bass Player	Premiere	bass_player	Character	1	Common	When the Bass Player is played, if another Character at his Locale has the word “Player” in his name, Draw 1 Card.
Beaker of Joy	ChristmasTown	beaker_of_joy	Creations	1	Rare	If your Jack is at his House when this Creation is played, you may discard 1 card from your hand to Add 2p. This creation does not count when determining if you have “the most Creations.” “Making Christmas” cannot lower the Cost of this Creation.
Behemoth	Premiere	behemoth	Character	2	Common	During your turn, you may discard Behemoth from play to force all opponents to discard 1 card of their choice from their hands.
Big Witch	Premiere	big_witch	Character	2	Uncommon	You may spend 1 Movement to Move the Big Witch to any other Locale in your Halloweentown.
Black Cat	Premiere	black_cat	Character	1	Rare	If played to the same Locale as Sally, Draw 2 Cards. If played to any other Locale, discard 2 cards from your hand.
Bone Daddy	ChristmasTown	bone_daddy	Surprises	0	Uncommon	Search 3, Jack, “The Players” OR Play Jack from your hand to a Locale in your Halloweentown; Jack’s Cost is -1 for every Character at that Locale with the word “Player” in his name.
Bun-ny!	Premiere	bun-ny	Surprises	0	Rare	Search, 4 Behemoth, Easter Bunny OR If Behemoth and the Easter Bunny are at the same Locale in your Halloweentown, discard that Easter Bunny and Draw 4 Cards.
Candy Shop	ChristmasTown	candy_shop	Locale	2	Uncommon	BONUS: Whenever the opponent to your left plays a Creation, Draw 1 Card. 
Captive Audience	ChristmasTown	captive_audience	Surprises	2	Rare	Search 6, 1 Character OR If Jack is at your Town Hall, Draw 1 Card for every additional Character there (maximum of 6 cards).
Carousel	ChristmasTown	carousel	Locale	3	Common	BONUS: After you perform a Function, you may discard up to 2 cards from your hand, and then draw an equal number of new cards.
Castle Finklestein	Premiere	castle_finklestein	Locale	5	Uncommon	FUNCTION: Discard 1 Card from hand to Add 5p
Choo Choo Train	ChristmasTown	choo_choo_train	Surprises	0	Common	Move any number of your Christmas Characters from any one Christmas Town Locale to any one other of your Christmas Town Locales.
Christmas Cafe	ChristmasTown	christmas_cafe	Locale	2	Promo Card	BONUS: While the Cafe is Active, whenever you play an Elf here, every player may Draw 1 Card.
Christmas Casket	Premiere	christmas_casket	Creations	6	Ultra-Rare	When playing this Creation, if Jack is in your Town Square, you may draw until you have 7 cards in your hand.
Christmas Equation	ChristmasTown	christmas_equation	Surprises	1	Rare	Search 6, Jack OR If your Jack is at his House, Stack this card on him, and then perform the card text on three of your Creations in play that have a Scare Number of 1, as if those Creations were just being played.
Christmas Supplies	ChristmasTown	christmas_supplies	Creations	6	Common	-1 Cost for every Character at your Well with the word “Ghost” in his or her name.
